[Command: python -u /Users/ianlewis/Documents/GitHub/ianlew.is/dev-projects/Map/loc_estimator.py]
[35.1495343, -90.0489801]
[-17.8502636, 36.9218584]
[35.86166, 104.195397]
[38.5236036, 23.8584737]
[-5.0122202, 141.3470159]
[64.5011111, -165.4063889]
[44.786568, 20.4489216]
[59.22053689999999, 10.9347012]
[45.5016889, -73.567256]
['Zero Results', 'Zero Results']
[22.572646, 88.36389500000001]
[49.38200200000001, -1.755905]
[49.305666, -1.242834]
[49.53207, -1.865804]
[24.880095, 102.832891]
[25.234479, 110.179953]
[-30.0346564, -51.2176584]
[43.66147100000001, -70.2553259]
[-9.4780123, 147.1506542]
[-14.5994134, -28.6731465]
[54.723977, -4.956053]
['Zero Results', 'Zero Results']
[42.96361, -99.09676259999999]
[20.8325254, -75.7284267]
[52.321924, 1.5985]
[53.753825, -2.868558]
[55.495587, -4.6142139]
[58.5035047, 13.1570768]
[-23.5505199, -46.63330939999999]
[44.786568, 20.4489216]
[-16.45, 145.373333]
[37.5419685, -100.6296]
[64.2008413, -149.4936733]
[-19.554581, -41.338018]
[47.322047, 5.04148]
[27.860175, 95.62739510000002]
[43.915886, 17.679076]
[-33.8688197, 151.2092955]
[59.39139849999999, 8.3211209]
[47.162494, 19.5033041]
[53.38999099999999, -3.023009]
[36.3274502, -119.6456844]
[36.0772906, -76.6171481]
[59.4836751, 8.6269273]
[24.880095, 102.832891]
[50.87387200000001, 0.00878]
[-1.2920659, 36.8219462]
[55.397121, 12.8415278]
[14.45411, -87.0624261]
[27.557838, 95.2580309]
[34.1898566, -118.451357]
[-14.5994134, -28.6731465]
[50.134664, -0.357056]
[27.5609387, 95.24543519999999]
[10.6549013, -61.50192559999999]
[34.1808392, -118.3089661]
[35.86166, 104.195397]
[24.880095, 102.832891]
[-9.862794599999999, 124.3310364]
[-37.0012974, 144.4937398]
[43.1306661, 11.0160694]
[52.587976, 1.7007189]
[37.8043637, -122.2711137]
[-19.1841146, -51.4048275]
[33.5731104, -7.589843399999999]
[50.7360171, 15.7399457]
[36.8348383, -81.5148368]
[-19.3919547, 155.8560646]
[24.880095, 102.832891]
[39.629526, -79.95589679999999]
[-31.9505269, 115.8604572]
[32.4709519, -100.4059384]
[51.94339069999999, 13.444467]
[48.9620681, 12.149544]
[54.2833333, -4.399999999999999]
[38.9071923, -77.0368707]
[-2.0941169, 146.8760951]
[51.113618, -0.732073]
[49.69779699999999, 2.788831]
[-4.185235, 136.8252838]
[4.915829899999999, -6.1540241]
[35.86166, 104.195397]
[-28.7773715, 114.6149715]
[50.608277, -1.960769]
[12.9715987, 77.5945627]
[31.9685988, -99.9018131]
[-14.5994134, -28.6731465]
[-0.0917016, 34.7679568]
[34.1954331, -79.7625625]
[40.7127837, -74.0059413]
[22.1564699, -100.9855409]
[14.6160647, -61.0587804]
[19.1783392, -98.64272799999999]
[34.1954331, -79.7625625]
[-10.4460842, 150.7214362]
[39.0997265, -94.5785667]
[-4.0845986, 137.1866179]
[27.4414096, 109.699648]
[51.2966867, -0.8693995]
[28.0394654, -81.9498042]
[48.117266, -1.6777926]
[50.91535, 4.4787175]
[39.90419989999999, 116.4073963]
[31.2287825, 121.4577728]
[-11.3494247, 127.9784585]
['Zero Results', 'Zero Results']
[-6.4824784, -76.3726891]
[42.5246357, 87.5395855]
[48.7986201, 8.4400257]
[25.4263309, 83.1179848]
[35.14726, -107.8514466]
[27.8005828, -97.39638099999999]
[45.8459562, 12.3184727]
[28.5983159, 83.9310623]
[31.8671891, 10.9856254]
[41.6517277, 13.9260001]
[11.2543388, 124.9616867]
[-5.7465904, 150.7679216]
[51.5961657, 0.4500460999999999]
[45.936698, -0.9616969999999999]
[29.5844524, -81.20786989999999]
[45.7832856, -108.5006904]
[59.9800595, 10.6653012]
['Zero Results', 'Zero Results']
[69.40419539999999, 86.2002911]
[40.7127837, -74.0059413]
[33.5206608, -86.80248999999999]
[43.817071, 125.323544]
[52.1541039, 36.8163089]
[43.296482, 5.36978]
[41.5083668, -72.9106202]
[49.5908749, -114.523843]
[48.00611000000001, 0.199556]
[41.6893961, -106.4140868]
[9.7150631, 122.8986812]
[46.23824, -63.13107040000001]
[32.6906137, -116.334462]
[50.0755381, 14.4378005]
[-42.8821377, 147.3271949]
[32.060255, 118.796877]
['Zero Results', 'Zero Results']
[39.4004621, -120.183811]
['Zero Results', 'Zero Results']
[54.65575, -5.787131]
[35.8854994, 14.373372]
[35.3939908, 109.1880047]
[12.2153659, -85.1660825]
['Zero Results', 'Zero Results']
[30.85067, -86.87483999999999]
[37.5407246, -77.4360481]
[59.9138688, 10.7522454]
[40.6340026, 14.6026805]
[8.787191199999999, -79.55753419999999]
[7.1453088, 3.3590446]
[33.8103642, -84.4163739]
[43.2951, -0.370797]
[42.2042586, -72.6162009]
[40.3356483, -75.9268747]
[36.6512, 117.120095]
[-2.9001285, -79.00589649999999]
[39.350833, -101.7101722]
[35.267048, -119.05677]
[16.7753609, 94.7381013]
[19.1482351, -96.9665476]
[59.9138688, 10.7522454]
[40.014561, -74.3112574]
[35.8582865, 14.4868883]
[49.44323199999999, 1.099971]
[41.5067003, -90.51513419999999]
[30.0444196, 31.2357116]
[54.3150367, -130.3208187]
[55.341539, 12.405246]
[48.936752, 2.425377]
[40.8324211, -115.7631232]
[13.4548761, -16.5790323]
[64.5011111, -165.4063889]
[49.1390842, -102.9914806]
[50.8503463, 4.3517211]
[48.954408, -54.6103488]
[32.8872094, 13.1913383]
['Zero Results', 'Zero Results']
[22.308047, 113.9184808]
[55.97883909999999, -4.3026801]
[-19.554581, -41.338018]
[48.5479718, -58.5815353]
[5.4163459, 100.3327617]
[52.21115700000001, 5.9699231]
[41.1399814, -104.8202462]
[33.8305244, -4.835315400000001]
[41.3113669, -105.5911007]
[22.1834038, 72.9419965]
['Zero Results', 'Zero Results']
[46.029218, 1.418574]
[55.755826, 37.6172999]
[41.49932, -81.6943605]
[34.8416435, -118.8648189]
[19.4869504, -97.1535061]
[52.3702157, 4.895167900000001]
[-8.783195, -124.508523]
[9.9280694, -84.0907246]
[-34.6266731, -58.5943604]
[36.2604623, 59.6167549]
[34.6937378, 135.5021651]
[46.4398305, -122.846783]
[14.0675, 121.4925]
[14.5401107, -74.9676365]
[-22.9068467, -43.1728965]
[32.715738, -117.1610838]
[31.3796, 121.499]
[31.2303904, 121.4737021]
[31.2303904, 121.4737021]
